Order No,Part No,Part Description,Supplier Name,Promised Delivery Date,Actual Delivery Date,Delay (Days),Is Overdue
15235202,8132807,RJ45 Patch Cable S/FTP LSZH with Cat.7 raw cable White 2 mtr.,Supplier_BC3711,2025-05-14,2025-05-14,0,False
15235202,8132808,RJ45 Patch Cable S/FTP LSZH with Cat.7 raw cable 3 mtr White,Supplier_BC3711,2025-05-14,2025-05-14,0,False
15235202,8132809,"RJ45 Patch Cable S/FTP LSZH with Cat.7 raw cable 1,5 mtr White",Supplier_BC3711,2025-05-14,2025-05-14,0,False
15235202,8132810,RJ45 Patch Cable S/FTP LSZH with Cat.7 raw cable White 1 mtr,Supplier_BC3711,2025-05-14,2025-05-14,0,False
15234250,8096586,"ABTECH Junction Box, GRP BPG 08, Grey RAL7001, Size: 160x160x90mm, EBPG08GREY",Supplier_CE0336,2025-05-09,2025-05-08,-1,False
15233905,8113089,"Catalyst 9300L 24p data, Network Essentials ,4x1G Uplink",Supplier_AA79E5,2025-04-16,2025-05-14,28,True
15230299,8131088,DUX1000x1000 316L SS (Not Brushed material with a natural finish),Supplier_52E269,2025-03-20,2025-04-07,18,True
15234089,8006032,EUPEN Communication Cable 50 OHM Coax Type 5128-HLFR ( ½ Inch -HLFR),Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8021052,"Procom Antenna CXL 70-3/H, 440-470 MHz",Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8022963,Lightning Arrester N female/female,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8022963,Lightning Arrester N female/female,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8022963,Lightning Arrester N female/female,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8026967,"Crimping Tool For RG213, LMR400",Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8041510,PROCOM UHF Antenna CXL70-1/H,Supplier_6F8465,2025-07-04,2025-04-30,-65,False
15234089,8049926,Gas tube 230 V for LP-NFM-3GHz and  LP-NFF-3GHz,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8049926,Gas tube 230 V for LP-NFM-3GHz and  LP-NFF-3GHz,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8049926,Gas tube 230 V for LP-NFM-3GHz and  LP-NFF-3GHz,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8064776,"Antenna Bracket LW 1 Inch, LW-SS-1""",Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8064776,"Antenna Bracket LW 1 Inch, LW-SS-1""",Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8064776,"Antenna Bracket LW 1 Inch, LW-SS-1""",Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8083558,"Procom Antenna CXL2-1/H-N, 155-175 Mhz, with N Connector",Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8093646,TIMES MICROWAVE N male crimp for LMR400,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8093647,"TIMES MICROWAVE LMR-LW400-LSZH, Low loss, 50 Ohm",Supplier_6F8465,2025-07-04,2025-04-30,-65,False
15234089,8093989,"TIMES MICROWAVE N Male Crimp for LMR600, EZ-600-NMH-X",Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8093990,TIMES MICROWAVE Stripping Tool for LMR400,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15232516,8118487,LAN surge arrester DPA CL8 EA 4PPOE,Supplier_2064BB,2025-03-14,2025-03-12,-2,False
15232324,8097666,"Advanced Multipurpose UICC card incl milenage for 2G, 3G, 4G/LTE, 5G, CDMA, ISIM & NFC Follows ISO 7816. NFC enabled with SWP. customized TRIO form factor (2FF/3FF/4FF)",Supplier_39EB22,2025-03-11,2025-03-12,1,True
15233570,8131985,"Glycerin-filled capsule spring pressure gauge, 100 mm, type KPChG 100-1.
Stainless steel housing. Class 1.6.
G ½ B nedadvendt, messing.",Supplier_70CAD1,2025-05-09,2025-05-07,-2,False
15233331,8132506,"A9188 NETWORK I/O RELAY MODULE, A9188, Input/output, 8 channels, Relay channel, Multicolor, 12 - 24 V, 12 - 24 V",Supplier_1C2CCF,2025-04-22,2025-04-22,0,False
15233331,8132507,TA1901 DIN Rail Clip 10PCS,Supplier_1C2CCF,2025-04-22,2025-04-22,0,False
15233954,8132774,Ci Junct box NFPA single,Supplier_A9A219,2025-04-16,2025-04-22,6,True
15235283,8050259,"Schneider mcb Acti9 iC60N 2P 2A, C-Characteristic 6-10kA 230V, A9F04202",Supplier_16ABF0,2025-05-14,2025-05-14,0,False
15235283,8052743,Schneider HPFI modul Vigi iC60 25A 2P 30mA cl. A A9W21225,Supplier_16ABF0,2025-05-14,2025-05-14,0,False
15235283,8052921,"Miniature Circuit Breaker iC60N C 4A 2P, type A9F04204",Supplier_16ABF0,2025-05-14,2025-05-14,0,False
15235283,8074923,Miniature Circuit Breaker ACTI9 IC60N 2P 10A C,Supplier_16ABF0,2025-05-14,2025-05-14,0,False
15235283,8076951,"SCHNEIDER Switch Disconnector ISW, 2P, 40A, 415VAC, 50/60Hz, Type A9S65240",Supplier_16ABF0,2025-05-14,2025-05-14,0,False
15235283,8115874,Auxiliary contact iOF 1OC 2mA til 100mA,Supplier_16ABF0,2025-05-14,2025-05-14,0,False
15235283,8117211,"Auxiliary contact iOF 1OC 2mA til 100mA, Type no. A9A26914",Supplier_16ABF0,2025-05-14,2025-05-14,0,False
15235377,8089581,"INFRALAN, Keystone RJ45 Die-cast Body, Cat.6A",Supplier_BC3711,2025-05-16,2025-05-16,0,False
15235377,8125609,"Blindprop keystone, hvid",Supplier_BC3711,2025-05-16,2025-05-16,0,False
15231612,8131614,RAGNO CR FDA MT50 D. 19,Supplier_16ABF0,2025-03-06,2025-03-04,-2,False
15230299,8131089,DUX300x300 316L SS (Not Brushed material with a natural finish),Supplier_52E269,2025-03-20,2025-04-07,18,True
15230299,8131090,DUX200x200 316L SS (Not Brushed material with a natural finish),Supplier_52E269,2025-03-20,2025-04-07,18,True
15229525,8088029,Remote Support - Kiran Gopi -  March 2025,Supplier_065F63,2025-04-08,2025-04-08,0,False
15234089,8115806,"N-Type Connector - Male - HLRFU 1/2""",Supplier_6F8465,2025-04-11,2025-04-30,19,True
15234089,8132805,LMR600 LSZH low loss 50ohm 200m drum Times Microwave LMR-LW600-LSZH,Supplier_6F8465,2025-04-11,2025-04-30,19,True
15233331,8132508,Axis 03084-001 TA4711 Access Card 100 pcs,Supplier_1C2CCF,2025-05-14,2025-04-22,-22,False
15233971,8007253,Release Hose 1/2 Inch  L=400mm,Supplier_39454D,2025-04-11,2025-04-14,3,True
15234615,8065963,Poppet Spare Part VDHT,Supplier_7FC8DD,2025-06-02,2025-05-28,-5,False
15233000,8107703,"Logitech BCC950 Conference Cam, USB webcam with motorised drive and 9 inch stand",Supplier_9F4866,2025-04-25,2025-04-24,-1,False
15233000,8107704,"YMCKO Cartridge w/Cleaning Roller: Full-colour ribbon with resin black and clear overlay panel – 250 images, for DTC1000/DTC1250e",Supplier_9F4866,2025-04-25,2025-04-24,-1,False
